return_id,order_id,return_date,return_reason,return_amount
99,75689,2022-08-07,Late Delivery,43.1
100,64653,2023-02-25,Changed Mind,23.62
101,76010,2022-02-19,Damaged,23.49
102,60815,2025-09-15,Quality Issue,54.08
103,54239,2025-12-07,Wrong Item,62.21
104,37901,2023-07-17,Late Delivery,50.66
105,71362,2025-10-24,Changed Mind,34.48
106,77709,2024-09-13,Changed Mind,16.82
107,72962,2024-07-24,Wrong Item,32.72
108,57559,2023-03-16,Changed Mind,45.69
109,45576,2024-06-26,Late Delivery,4.23
110,46316,2023-02-20,Damaged,21.67
111,17743,2023-12-31,Changed Mind,10.58
112,66750,2025-06-10,Damaged,44.54
113,45006,2024-05-14,Wrong Item,31.7
114,27515,2023-02-16,Changed Mind,49.22
115,1248,2025-11-15,Late Delivery,57.98
116,56156,2024-01-08,Wrong Item,14.91
117,64629,2022-03-25,Changed Mind,146.8
118,65450,2025-01-06,Changed Mind,30.95
119,51198,2024-02-12,Late Delivery,12.36
120,49743,2025-09-05,Damaged,192.87
121,38742,2025-04-25,Changed Mind,255.31
122,13713,2025-09-14,Changed Mind,5.15
123,68990,2025-09-25,Damaged,125.58
124,18337,2024-02-02,Damaged,74.34
125,52304,2024-08-09,Quality Issue,17.7
126,52488,2025-07-08,Wrong Item,25.27
127,1027,2024-05-11,Wrong Item,31.72
128,52785,2022-04-21,Quality Issue,34.15
129,40915,2023-05-28,Changed Mind,19.61
130,78160,2023-02-06,Wrong Item,29.73
131,28599,2023-03-20,Wrong Item,112.31
132,49854,2025-09-25,Quality Issue,11.0
133,48780,2025-10-12,Late Delivery,82.51
134,76657,2023-11-11,Late Delivery,133.01
135,4674,2025-12-15,Quality Issue,60.37
136,22111,2023-09-15,Late Delivery,63.86
137,706,2025-03-11,Damaged,15.17
138,57174,2024-03-29,Damaged,6.59
139,50470,2022-06-06,Damaged,41.83
140,52453,2025-01-28,Wrong Item,4.58
141,22769,2025-01-21,Quality Issue,11.79
142,60763,2024-07-28,Damaged,56.83
143,44902,2025-11-09,Wrong Item,40.88
144,70970,2024-08-01,Changed Mind,25.43
145,63712,2022-09-01,Changed Mind,40.56
146,7402,2025-07-16,Late Delivery,118.1
147,18797,2022-12-30,Late Delivery,33.67
148,28500,2022-08-26,Damaged,41.41
149,30272,2023-05-29,Quality Issue,96.18
150,11972,2022-11-26,Changed Mind,27.95
151,1397,2022-11-03,Damaged,14.95
152,78195,2024-06-04,Changed Mind,86.34
153,27869,2024-02-14,Damaged,27.53
154,27338,2024-04-03,Changed Mind,22.6
155,53534,2022-03-18,Late Delivery,97.34
156,18354,2023-04-16,Changed Mind,30.77
157,27730,2024-11-29,Late Delivery,40.76
158,16742,2023-12-12,Wrong Item,25.41
159,60517,2025-06-16,Late Delivery,57.5
160,73043,2024-08-27,Quality Issue,180.48
161,25159,2022-07-26,Quality Issue,63.85
162,18613,2022-07-07,Damaged,8.27
163,15920,2023-02-07,Damaged,54.91
164,66557,2024-11-08,Changed Mind,25.6
165,7366,2023-03-22,Wrong Item,29.88
166,68013,2023-08-03,Wrong Item,11.24
167,55951,2023-10-25,Wrong Item,11.13
168,60437,2022-07-05,Quality Issue,30.47
169,75000,2022-03-21,Damaged,24.52
170,29081,2022-06-24,Quality Issue,23.13
171,26801,2025-11-12,Damaged,85.99
172,1787,2022-02-14,Wrong Item,28.72
173,26120,2024-09-11,Late Delivery,4.97
174,55726,2022-11-18,Quality Issue,74.79
175,61018,2024-11-14,Late Delivery,60.93
176,13555,2023-03-21,Late Delivery,168.27
177,29330,2024-09-25,Quality Issue,20.06
178,72314,2024-06-21,Wrong Item,13.13
179,55280,2024-04-17,Quality Issue,61.03
180,74096,2022-08-23,Wrong Item,28.27
181,7023,2026-01-05,Changed Mind,20.91
182,56685,2022-07-05,Changed Mind,49.13
183,24326,2025-11-10,Damaged,42.53
184,36016,2022-08-11,Quality Issue,23.0
185,23801,2023-05-10,Late Delivery,120.21
186,64252,2022-03-08,Late Delivery,15.0
187,59795,2024-07-15,Quality Issue,36.34
188,75077,2024-12-12,Damaged,46.41
189,42096,2024-11-30,Changed Mind,29.1
190,31912,2023-01-23,Late Delivery,15.56
191,2863,2022-11-30,Damaged,105.56
192,11264,2025-04-26,Damaged,28.42
193,55180,2023-01-07,Quality Issue,113.8
194,46100,2022-06-18,Changed Mind,62.39
195,34728,2022-09-14,Late Delivery,26.67
196,70784,2025-05-06,Damaged,58.37
197,3200,2022-05-08,Late Delivery,26.67
198,5475,2022-09-21,Changed Mind,9.71
199,12150,2024-11-15,Changed Mind,56.39
200,10080,2023-07-30,Wrong Item,26.02
201,72528,2024-07-07,Wrong Item,42.67
202,14496,2025-10-28,Damaged,23.23
203,27096,2023-06-28,Late Delivery,11.61
204,8011,2022-05-20,Damaged,22.95
205,73276,2023-10-30,Damaged,18.77
206,39020,2025-10-02,Late Delivery,29.99
207,2978,2025-01-26,Late Delivery,233.76
208,14954,2025-09-23,Late Delivery,87.91
209,49573,2025-12-10,Late Delivery,48.66
210,47205,2024-06-21,Quality Issue,33.83
211,34617,2026-01-20,Wrong Item,48.56
212,66727,2025-03-30,Damaged,46.71
213,77554,2023-07-03,Quality Issue,48.74
214,32337,2023-04-05,Quality Issue,25.95
215,14510,2024-03-12,Wrong Item,49.31
216,32265,2024-07-29,Wrong Item,14.9
217,27649,2022-06-01,Wrong Item,20.88
218,72776,2023-10-14,Wrong Item,30.56
219,61798,2025-11-02,Late Delivery,25.3
220,4362,2024-03-02,Damaged,4.73
221,63456,2024-12-28,Quality Issue,60.54
222,49413,2025-12-17,Wrong Item,47.9
223,26724,2024-12-28,Wrong Item,19.19
224,11155,2023-01-23,Late Delivery,51.01
225,62195,2022-12-08,Quality Issue,52.92
226,56516,2025-06-03,Wrong Item,53.32
227,20680,2023-11-25,Quality Issue,14.68
228,1129,2025-01-21,Changed Mind,33.76
229,3916,2025-04-15,Changed Mind,45.85
230,39016,2025-02-04,Damaged,115.27
231,27905,2023-06-17,Damaged,26.09
232,19475,2025-03-05,Changed Mind,15.08
233,69300,2023-09-01,Quality Issue,14.61
234,53797,2023-05-04,Late Delivery,12.94
235,60975,2023-04-19,Late Delivery,27.37
236,64900,2022-10-23,Late Delivery,21.23
237,31318,2025-02-18,Wrong Item,24.77
238,18113,2025-05-19,Quality Issue,13.77
239,55206,2024-02-15,Changed Mind,20.75
240,16577,2025-09-04,Damaged,38.28
241,5147,2024-04-12,Quality Issue,4.18
242,59017,2024-12-26,Wrong Item,31.25
243,8156,2022-01-30,Late Delivery,18.28
244,12235,2025-03-09,Wrong Item,9.96
245,73651,2022-11-04,Quality Issue,22.36
246,24728,2024-09-20,Changed Mind,18.91
247,14691,2023-08-25,Damaged,31.12
248,35780,2023-12-09,Late Delivery,98.11
249,67337,2022-05-29,Damaged,14.99
250,176,2023-10-20,Quality Issue,33.65
251,4062,2024-09-20,Late Delivery,31.15
252,68913,2022-09-19,Wrong Item,22.93
253,50263,2025-09-07,Late Delivery,38.54
254,16281,2023-12-04,Changed Mind,19.04
255,15637,2022-04-06,Damaged,36.51
256,66026,2024-11-19,Quality Issue,34.69
257,12776,2024-07-22,Quality Issue,25.05
258,49689,2022-05-04,Damaged,30.32
259,76235,2023-07-09,Damaged,13.51
260,19447,2025-01-08,Damaged,164.24
261,73275,2023-12-06,Late Delivery,8.64
262,10407,2023-03-29,Quality Issue,20.07
263,73001,2024-06-10,Changed Mind,31.83
264,4650,2023-06-11,Late Delivery,91.39
265,74142,2025-02-22,Quality Issue,94.67
266,38095,2022-05-15,Changed Mind,96.66
267,65244,2022-05-28,Wrong Item,138.82
268,70812,2023-07-25,Changed Mind,22.06
269,23157,2024-06-01,Changed Mind,8.25
270,66068,2022-10-09,Wrong Item,16.35
271,35756,2022-02-18,Wrong Item,34.24
272,33935,2022-07-26,Quality Issue,9.92
273,30783,2022-08-19,Damaged,10.24
274,43160,2023-07-10,Wrong Item,14.69
275,64176,2023-01-11,Late Delivery,15.36
276,55243,2025-03-06,Changed Mind,9.56
277,24496,2022-12-27,Wrong Item,25.55
278,16270,2025-03-29,Changed Mind,97.26
279,4240,2023-08-24,Damaged,83.72
280,17114,2024-08-17,Damaged,18.04
281,19729,2023-01-30,Wrong Item,13.42
282,17895,2022-05-30,Wrong Item,46.37
283,21599,2022-03-23,Wrong Item,54.54
284,36067,2022-09-06,Damaged,14.94
285,75307,2024-10-25,Wrong Item,21.16
286,13590,2026-01-19,Quality Issue,42.17
287,8503,2023-09-15,Wrong Item,25.48
288,22382,2024-05-17,Changed Mind,10.63
289,5688,2022-03-04,Quality Issue,79.99
290,38574,2024-07-01,Quality Issue,74.8
291,18019,2022-10-11,Quality Issue,81.29
292,36001,2023-03-21,Quality Issue,127.71
293,54836,2025-07-03,Changed Mind,26.9
294,32042,2024-06-26,Wrong Item,107.67
295,59347,2025-08-07,Wrong Item,19.16
296,77549,2023-10-21,Wrong Item,197.25
297,890,2023-04-08,Quality Issue,87.96
298,10844,2022-06-04,Damaged,20.6
299,48448,2025-01-26,Damaged,14.23
300,77763,2022-07-27,Changed Mind,61.29
301,5871,2025-08-25,Quality Issue,170.93
302,51787,2025-10-22,Changed Mind,16.33
303,48283,2025-08-16,Late Delivery,16.76
304,27417,2024-08-15,Quality Issue,23.66
305,30615,2022-11-29,Changed Mind,11.06
306,4666,2024-06-01,Late Delivery,44.21
307,61804,2023-02-27,Wrong Item,7.44
308,75771,2022-05-04,Wrong Item,61.17
309,58266,2024-11-24,Changed Mind,349.23
310,73804,2024-05-31,Wrong Item,11.06
311,58295,2022-04-07,Damaged,17.76
312,73591,2024-01-28,Damaged,17.1
313,18817,2024-02-27,Late Delivery,34.41
314,35711,2023-02-11,Wrong Item,30.87
315,74461,2025-05-12,Changed Mind,54.46
316,70419,2025-06-07,Late Delivery,15.7
317,56436,2025-03-16,Wrong Item,104.16
318,27788,2022-07-21,Late Delivery,64.37
319,30839,2024-07-20,Changed Mind,34.69
320,25518,2024-12-20,Changed Mind,7.31
321,40487,2025-07-04,Quality Issue,29.07
322,74833,2022-07-23,Quality Issue,52.77
323,34813,2024-10-04,Changed Mind,44.22
324,5313,2023-06-01,Changed Mind,130.86
325,68318,2023-08-14,Wrong Item,64.28
326,40912,2024-09-23,Quality Issue,64.95
327,25122,2025-08-13,Changed Mind,78.83
328,59841,2022-06-14,Changed Mind,222.12
329,63699,2024-05-24,Wrong Item,21.17
330,5013,2024-02-19,Wrong Item,22.52
331,50405,2023-10-20,Late Delivery,3.92
332,38886,2024-05-06,Late Delivery,19.95
333,65471,2023-11-06,Quality Issue,101.56
334,72225,2022-03-17,Wrong Item,144.77
335,56414,2022-05-14,Changed Mind,20.09
336,41062,2022-05-07,Damaged,49.22
337,13140,2023-06-17,Wrong Item,15.24
338,13687,2023-03-15,Wrong Item,51.32
339,18422,2024-08-01,Changed Mind,80.74
340,63757,2022-07-07,Quality Issue,18.48
341,36199,2025-06-24,Damaged,39.47
342,49037,2025-05-26,Changed Mind,42.02
343,53108,2022-10-25,Late Delivery,13.95
344,34878,2022-03-07,Quality Issue,34.07
345,77502,2024-02-06,Quality Issue,12.87
346,13404,2025-02-10,Late Delivery,24.89
347,42352,2025-03-03,Changed Mind,29.04
348,20388,2022-04-12,Quality Issue,46.77
349,55395,2023-12-02,Quality Issue,200.32
350,57750,2024-02-13,Changed Mind,19.42
351,60148,2022-10-03,Wrong Item,12.99
352,16190,2023-12-24,Damaged,33.25
353,54850,2022-05-01,Quality Issue,20.06
354,62275,2025-12-24,Changed Mind,16.37
355,38830,2023-08-09,Late Delivery,17.58
356,908,2022-04-24,Quality Issue,74.3
357,15364,2022-09-02,Damaged,143.32
358,12072,2024-01-01,Wrong Item,25.68
359,52856,2022-05-29,Late Delivery,42.66
360,61538,2025-09-27,Changed Mind,45.61
361,22935,2025-05-23,Damaged,32.01
362,12849,2023-09-15,Damaged,26.92
363,43477,2025-01-06,Quality Issue,29.22
364,61642,2024-10-07,Late Delivery,75.25
365,70866,2023-01-15,Changed Mind,52.4
366,70588,2022-05-22,Late Delivery,15.99
367,15017,2025-11-26,Changed Mind,41.55
368,27663,2022-10-25,Changed Mind,41.67
369,40610,2024-04-08,Wrong Item,9.3
370,10418,2025-04-08,Wrong Item,15.67
371,76341,2023-02-16,Changed Mind,47.7
372,10798,2022-02-21,Late Delivery,11.33
373,52825,2025-03-26,Changed Mind,8.2
374,74536,2022-10-19,Late Delivery,271.09
375,72431,2022-04-25,Wrong Item,18.04
376,17367,2024-01-31,Late Delivery,34.4
377,5865,2025-08-11,Changed Mind,29.88
378,66230,2025-05-30,Late Delivery,2.72
379,77276,2022-05-23,Damaged,3.75
380,68684,2022-09-13,Wrong Item,25.98
381,2810,2022-10-03,Quality Issue,67.92
382,47677,2022-11-21,Late Delivery,72.06
383,77228,2022-02-27,Quality Issue,46.95
384,11773,2024-01-25,Quality Issue,36.74
385,16641,2022-10-04,Late Delivery,29.59
386,30467,2025-04-12,Changed Mind,18.59
387,64735,2022-12-11,Wrong Item,43.93
388,56447,2024-03-26,Wrong Item,14.31
389,30981,2022-04-04,Changed Mind,17.54
390,48947,2025-04-17,Quality Issue,31.17
391,67396,2023-09-30,Late Delivery,10.31
392,55962,2022-07-22,Changed Mind,18.2
393,68250,2024-06-19,Late Delivery,101.81
394,18246,2024-08-22,Wrong Item,14.55
395,20969,2024-11-25,Late Delivery,66.65
396,65536,2022-08-19,Damaged,13.69
397,12339,2024-06-02,Late Delivery,34.98
398,3884,2025-07-19,Changed Mind,18.12
399,71187,2023-04-15,Quality Issue,39.0
400,1992,2023-12-09,Late Delivery,19.23
401,32161,2022-11-16,Quality Issue,190.92
402,76042,2024-10-17,Damaged,31.47
403,22703,2025-10-28,Damaged,39.57
404,18594,2026-01-02,Changed Mind,29.6
405,78108,2022-04-16,Changed Mind,42.94
406,75662,2023-09-12,Damaged,21.68
407,15411,2023-04-12,Damaged,14.63
408,71072,2025-09-23,Damaged,6.05
409,65599,2022-02-07,Damaged,6.09
410,38209,2025-03-14,Changed Mind,15.34
411,75325,2025-07-09,Changed Mind,36.2
412,56058,2023-09-10,Quality Issue,4.01
413,66608,2023-02-28,Damaged,10.56
414,6018,2024-02-07,Wrong Item,19.04
415,2737,2023-01-12,Changed Mind,42.08
416,37169,2024-02-03,Changed Mind,53.9
417,32732,2022-07-07,Changed Mind,15.83
418,48313,2025-12-08,Changed Mind,37.83
419,27830,2022-11-23,Changed Mind,80.61
420,2573,2022-12-15,Damaged,32.34
421,10284,2024-06-25,Quality Issue,119.42
422,47007,2024-11-27,Wrong Item,10.0
423,71495,2025-10-07,Late Delivery,8.18
424,69153,2024-08-20,Damaged,38.89
425,76891,2023-09-03,Late Delivery,53.44
426,76179,2024-01-18,Damaged,135.06
427,3548,2023-11-16,Changed Mind,32.39
428,29390,2024-08-23,Damaged,15.84
429,6062,2022-02-22,Changed Mind,60.32
430,64207,2025-03-15,Quality Issue,9.21
431,36119,2023-01-16,Damaged,3.54
432,23288,2024-08-29,Late Delivery,32.36
433,70951,2024-10-28,Late Delivery,36.6
434,1040,2022-07-20,Damaged,36.59
435,71383,2025-09-10,Late Delivery,128.03
436,78270,2022-12-26,Damaged,10.29
437,16552,2023-07-22,Late Delivery,50.72
438,67341,2022-05-16,Changed Mind,12.05
439,22075,2022-04-17,Wrong Item,96.75
440,27039,2022-07-05,Damaged,47.0
441,59258,2024-02-19,Changed Mind,46.9
442,77673,2023-09-27,Changed Mind,45.3
443,21696,2023-04-30,Wrong Item,16.55
444,66840,2023-04-18,Quality Issue,60.73
445,24583,2023-09-22,Wrong Item,88.55
446,7031,2025-09-04,Late Delivery,16.9
447,20493,2024-12-05,Late Delivery,29.17
448,31367,2025-08-31,Quality Issue,94.87
449,27227,2022-11-03,Quality Issue,206.48
450,41082,2022-11-20,Damaged,126.1
451,13081,2022-07-08,Quality Issue,49.94
452,47239,2023-09-09,Changed Mind,97.73
453,5862,2024-10-05,Quality Issue,7.99
454,71101,2023-05-05,Changed Mind,40.28
455,33739,2025-10-21,Quality Issue,23.61
456,21505,2022-09-22,Damaged,10.61
457,37857,2023-01-01,Wrong Item,42.91
458,64827,2024-06-18,Damaged,72.92
459,39733,2025-08-17,Late Delivery,36.13
460,73335,2024-10-11,Damaged,8.3
461,29953,2025-08-08,Late Delivery,41.18
462,58278,2022-08-07,Wrong Item,6.7
463,23073,2023-08-01,Damaged,212.89
464,72476,2023-08-27,Late Delivery,47.46
465,62026,2024-03-16,Quality Issue,24.1
466,75710,2024-01-18,Changed Mind,24.71
467,69253,2023-02-21,Changed Mind,18.3
468,62730,2025-11-21,Changed Mind,35.95
469,43484,2024-05-27,Wrong Item,23.97
470,75369,2025-05-02,Quality Issue,26.11
471,4547,2022-08-08,Changed Mind,30.72
472,52434,2022-09-15,Quality Issue,98.9
473,17607,2023-02-07,Quality Issue,52.62
474,73444,2023-06-29,Late Delivery,43.22
475,65831,2023-07-20,Wrong Item,18.92
476,29786,2023-09-11,Quality Issue,20.19
477,55216,2026-01-02,Wrong Item,21.33
478,3649,2022-07-02,Wrong Item,60.54
479,61458,2024-07-28,Changed Mind,18.78
480,37524,2022-08-26,Quality Issue,16.67
481,6038,2025-12-02,Late Delivery,20.16
482,39567,2023-12-18,Quality Issue,47.06
483,74093,2024-02-13,Damaged,21.66
484,67607,2023-12-29,Quality Issue,198.95
485,37323,2023-01-06,Changed Mind,107.1
486,73291,2025-12-15,Wrong Item,40.59
487,23878,2023-09-09,Wrong Item,45.9
488,57057,2025-07-17,Changed Mind,190.64
489,67984,2025-06-10,Late Delivery,68.38
490,12818,2026-01-04,Late Delivery,21.34
491,70905,2022-04-21,Late Delivery,25.73
492,74723,2024-02-15,Late Delivery,50.34
493,39613,2023-07-15,Damaged,86.85
494,12875,2023-11-09,Wrong Item,83.13
495,77274,2025-11-03,Late Delivery,279.45
496,48899,2024-08-31,Quality Issue,41.2
497,33831,2022-12-28,Wrong Item,12.69
498,74320,2023-04-29,Quality Issue,306.1
499,50575,2022-01-07,Damaged,19.89
500,51355,2024-04-21,Late Delivery,18.5
501,77942,2025-01-28,Late Delivery,9.3
502,55917,2023-07-01,Damaged,9.92
503,34,2024-06-25,Changed Mind,27.54
504,37357,2025-03-23,Changed Mind,14.1
505,2836,2023-05-21,Quality Issue,15.13
506,23595,2024-10-22,Wrong Item,83.4
507,50268,2023-05-12,Damaged,18.03
508,31076,2025-05-21,Wrong Item,31.88
509,71578,2023-04-13,Late Delivery,51.49
510,52841,2025-08-15,Damaged,5.77
511,23928,2024-06-09,Late Delivery,164.18
512,29056,2022-02-16,Quality Issue,96.62
513,8983,2023-03-06,Damaged,22.35
514,16322,2024-11-21,Wrong Item,40.15
515,76476,2025-02-18,Late Delivery,36.66
516,65881,2025-09-23,Damaged,24.85
517,16367,2025-10-13,Quality Issue,45.9
518,8091,2025-08-07,Damaged,94.84
519,31801,2023-12-24,Wrong Item,33.55
520,32349,2022-10-03,Changed Mind,23.92
521,10047,2024-11-24,Wrong Item,17.71
522,65565,2025-08-21,Quality Issue,14.62
523,68295,2025-12-05,Late Delivery,12.15
524,43936,2025-01-15,Late Delivery,185.87
525,27944,2022-08-29,Wrong Item,15.25
526,6007,2024-04-03,Quality Issue,34.21
527,15776,2025-10-06,Damaged,13.75
528,54519,2026-01-08,Late Delivery,23.94
529,39046,2023-07-08,Changed Mind,60.07
530,7439,2022-10-02,Quality Issue,141.43
531,12825,2024-04-16,Changed Mind,44.19
532,25570,2023-03-23,Damaged,91.02
533,17916,2024-06-06,Quality Issue,18.64
534,52377,2025-01-01,Quality Issue,42.0
535,70218,2025-08-30,Late Delivery,9.66
536,67304,2024-11-13,Wrong Item,33.75
537,66766,2023-02-05,Damaged,40.9
538,1649,2025-05-05,Late Delivery,97.7
539,924,2024-04-16,Damaged,10.26
540,49545,2024-12-02,Damaged,56.01
541,30523,2022-07-11,Quality Issue,74.76
542,74860,2025-11-10,Changed Mind,33.39
543,10380,2022-05-30,Changed Mind,17.87
544,57451,2022-04-16,Changed Mind,49.55
545,61896,2026-01-25,Damaged,17.58
546,21428,2022-03-25,Changed Mind,15.39
547,53929,2024-09-29,Quality Issue,139.57
548,49259,2022-12-25,Damaged,65.38
549,48791,2022-07-15,Changed Mind,64.19
550,41169,2026-01-11,Changed Mind,14.75
551,56471,2023-05-31,Changed Mind,6.17
552,42697,2022-08-06,Wrong Item,13.65
553,17790,2024-09-27,Late Delivery,38.07
554,70818,2025-09-20,Quality Issue,18.51
555,39399,2022-12-21,Wrong Item,3.85
556,69004,2024-12-22,Damaged,38.51
557,29072,2023-02-06,Changed Mind,101.68
558,1918,2022-04-04,Damaged,34.68
559,54798,2024-11-27,Changed Mind,11.89
560,46310,2025-09-07,Damaged,33.67
561,580,2022-11-26,Late Delivery,61.45
562,54755,2025-06-11,Damaged,48.1
563,38270,2024-06-25,Quality Issue,24.3
564,31655,2023-05-17,Wrong Item,52.5
565,30201,2024-07-10,Late Delivery,19.24
566,7430,2023-10-18,Quality Issue,44.32
567,37633,2023-12-18,Damaged,31.81
568,47772,2025-10-12,Late Delivery,7.67
569,62674,2024-02-09,Changed Mind,40.5
570,65517,2024-01-16,Quality Issue,14.98
571,33591,2025-08-30,Damaged,30.74
572,66058,2025-07-11,Quality Issue,40.09
573,48935,2023-07-14,Damaged,13.02
574,8818,2022-08-27,Changed Mind,24.66
575,42497,2022-08-21,Quality Issue,44.4
576,14836,2023-11-17,Damaged,21.41
577,10062,2024-01-14,Damaged,57.69
578,17673,2022-02-06,Damaged,4.57
579,31525,2022-07-09,Late Delivery,70.99
580,37837,2025-03-16,Wrong Item,48.31
581,28229,2024-06-28,Late Delivery,16.31
582,35023,2024-05-31,Late Delivery,11.06
583,27640,2023-06-19,Quality Issue,27.44
584,6211,2024-02-24,Late Delivery,12.69
585,45033,2026-01-20,Wrong Item,18.62
586,44264,2023-01-20,Wrong Item,89.0
587,56181,2024-05-12,Damaged,61.63
588,66318,2022-05-22,Late Delivery,35.4
589,39919,2022-02-05,Late Delivery,11.4
590,58745,2026-01-14,Quality Issue,20.22
591,14970,2023-12-15,Wrong Item,13.25
592,43363,2025-01-30,Changed Mind,55.82
593,51157,2025-05-04,Late Delivery,186.26
594,46813,2025-07-09,Late Delivery,18.07
595,60736,2023-12-27,Quality Issue,28.95
596,57778,2023-03-27,Quality Issue,13.13
597,23677,2023-07-22,Late Delivery,51.26
598,902,2025-07-27,Damaged,38.85
599,41868,2022-07-14,Damaged,73.64
600,70511,2026-01-05,Changed Mind,12.34
601,66680,2024-03-21,Damaged,11.61
602,3957,2023-05-31,Changed Mind,29.05
603,71780,2024-03-15,Changed Mind,14.03
604,13758,2023-12-16,Damaged,44.21
605,74540,2022-06-19,Changed Mind,60.38
606,13868,2022-04-25,Late Delivery,21.01
607,12594,2024-10-08,Wrong Item,44.9
608,33129,2024-07-12,Quality Issue,81.45
609,52165,2023-12-20,Damaged,17.46
610,47864,2022-12-02,Wrong Item,19.63
611,56493,2025-06-04,Quality Issue,106.79
612,74911,2025-07-06,Late Delivery,19.48
613,61122,2022-12-21,Late Delivery,18.28
614,76246,2024-07-24,Damaged,18.86
615,73990,2023-09-07,Changed Mind,158.02
616,42199,2025-01-06,Damaged,67.38
617,75684,2023-06-28,Quality Issue,22.62
618,38158,2023-01-11,Damaged,9.94
